127.0.0.1 - - [21/Apr/2020:08:00:24 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/index.html HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 200 212492
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 200 403756
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 200 407900
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 200 499535
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 200 316160
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:25 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:00:26 +0800] "GET /WebProject/css/img/ico.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/index.html HTTP/1.1" 200 7127
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:07:43 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/index.html HTTP/1.1" 200 7122
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:08:27 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/index.html HTTP/1.1" 200 7111
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:31 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:32 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:33 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:10:56 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/index.html HTTP/1.1" 200 7169
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:11:37 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:32 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:12:46 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:08:14:22 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
