127.0.0.1 - - [16/Apr/2020:11:17:01 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/index.html HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 200 212492
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 200 403756
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 200 499535
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 200 407900
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 200 316160
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:17:02 +0800] "GET /WebProject/css/img/ico.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 1741
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/css/login.css HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/images/user.png HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/images/login-image-2.png HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/images/login-image-3.png HTTP/1.1" 200 26872
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/images/login-image-1.png HTTP/1.1" 200 12658
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/images/bk-login.png HTTP/1.1" 200 504968
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:14 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:27 +0800] "GET /WebProject/html/zhuce.html HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:27 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:27 +0800] "GET /WebProject/css/zhuce.css HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:27 +0800] "GET /WebProject/images/zhuce-image-1.png HTTP/1.1" 200 20650
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:28 +0800] "GET /WebProject/images/bk-zhuce-1.png HTTP/1.1" 200 509703
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:34 +0800] "GET /WebProject/html/index.html HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:19:38 +0800] "GET /WebProject/html/index.html HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:29:28 +0800] "GET /WebProject/html/servletform.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [16/Apr/2020:11:29:31 +0800] "POST /WebProject/ServletDemo2 HTTP/1.1" 200 125
