127.0.0.1 - - [28/Apr/2020:15:00:38 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:39 +0800] "GET /WebProject_JDBC/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:42 +0800] "GET /WebProject_JDBC/html/home.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:42 +0800] "GET /WebProject_JDBC/html/jumplogin.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:45 +0800] "GET /WebProject_JDBC/jsp/login.jsp HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:45 +0800] "GET /WebProject_JDBC/js/jquery-1.11.1.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:45 +0800] "GET /WebProject_JDBC/images/login-image-2.png HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:45 +0800] "GET /WebProject_JDBC/css/login.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:45 +0800] "GET /WebProject_JDBC/images/user.png HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:46 +0800] "GET /WebProject_JDBC/images/login-image-1.png HTTP/1.1" 200 12658
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:46 +0800] "GET /WebProject_JDBC/images/login-image-3.png HTTP/1.1" 200 26872
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:46 +0800] "GET /WebProject_JDBC/images/bk-login.png HTTP/1.1" 200 504968
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:46 +0800] "GET /WebProject_JDBC/images/footerBg.png HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:53 +0800] "POST /WebProject_JDBC/jsp/loginCheck.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:53 +0800] "GET /WebProject_JDBC/images/zhuce-image-1.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:53 +0800] "GET /WebProject_JDBC/css/zhuce.css HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:53 +0800] "GET /WebProject_JDBC/images/bk-zhuce-1.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:56 +0800] "GET /WebProject_JDBC/index.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:00:58 +0800] "GET /WebProject_JDBC/html/home.html HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:11:07 +0800] "GET /WebProject_JDBC/html/home.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:13:09 +0800] "GET /WebProject_JDBC/html/home.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:16:15 +0800] "GET /WebProject_JDBC/html/home.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [28/Apr/2020:15:21:10 +0800] "GET /WebProject_JDBC/html/home.jsp HTTP/1.1" 200 424
