127.0.0.1 - - [22/Mar/2020:09:35:26 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Mar/2020:09:35:27 +0800] "GET /WebProject/index.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:05:37 +0800] "GET /WebProject/index.html HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:05:46 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:08:13 +0800] "GET /WebProject/index.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:08:14 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:08:14 +0800] "GET /WebProject/css/login.css HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:08:14 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:14:13 +0800] "GET /WebProject/index.html HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:14:13 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:14:13 +0800] "GET /WebProject/images/login-image-3.png HTTP/1.1" 200 191266
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:14:13 +0800] "GET /WebProject/images/login-image-2.png HTTP/1.1" 200 139439
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:14:13 +0800] "GET /WebProject/images/login-image-1.png HTTP/1.1" 200 153883
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:14:13 +0800] "GET /WebProject/images/user.png HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:14:13 +0800] "GET /WebProject/images/yanzhengma.png HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:15:32 +0800] "GET /WebProject/zhuce.html HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:19:01 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:19:01 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:19:05 +0800] "GET /html HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:19:14 +0800] "GET /html/login.html HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:25:31 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:25:39 +0800] "GET /WebContent HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:25:49 +0800] "GET /WebContent/index.html HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:25:54 +0800] "GET /index.html HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:28:03 +0800] "GET /WebProject/css/login.css HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:28:03 +0800] "GET /WebProject/images/bk-login.png HTTP/1.1" 200 504968
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:28:03 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:28:47 +0800] "GET /WebProject/index.html HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/css/login.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/js/jquery-1.11.1.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/images/login-image-3.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/images/user.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/images/login-image-1.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/images/login-image-2.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:16 +0800] "GET /WebProject/html/images/yanzhengma.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/css/login.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/js/jquery-1.11.1.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/images/login-image-3.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/images/login-image-1.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/images/login-image-2.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/images/user.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:42 +0800] "GET /WebProject/html/images/yanzhengma.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/css/login.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/js/jquery-1.11.1.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/images/login-image-3.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/images/login-image-2.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/images/login-image-1.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/images/user.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:43 +0800] "GET /WebProject/html/images/yanzhengma.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/css/login.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/js/jquery-1.11.1.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/images/login-image-3.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/images/login-image-2.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/images/login-image-1.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/images/user.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:45 +0800] "GET /WebProject/html/images/yanzhengma.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/html/js/jquery-1.11.1.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/html/images/login-image-3.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/html/images/login-image-2.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/html/images/login-image-1.png HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/html/images/user.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/html/images/yanzhengma.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:57 +0800] "GET /WebProject/images/bk-login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:29:58 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/images/login-image-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/images/login-image-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/images/login-image-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/html/images/user.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/html/images/yanzhengma.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:33:49 +0800] "GET /WebProject/images/bk-login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/images/login-image-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/images/login-image-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/images/login-image-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:34:19 +0800] "GET /WebProject/images/bk-login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/css/login.css HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/images/login-image-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/images/login-image-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/images/login-image-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/images/bk-login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:37:50 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:39:08 +0800] "GET /WebProject/html/login.html HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [22/Mar/2020:12:39:08 +0800] "GET /WebProject/css/login.css HTTP/1.1" 200 1957
