0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:21:19 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:24:17 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:22 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:23 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:26:45 +0800] "GET /WebProject/js/jquery.yx_rotaion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:27:32 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:27:32 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:27:32 +0800] "GET /WebProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:27:32 +0800] "GET /WebProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:27:32 +0800] "GET /WebProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:27:32 +0800] "GET /WebProject/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:27:32 +0800] "GET /WebProject/images/img5.jpg HTTP/1.1" 304 -
